School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
Cincinnati,"$4,365,263.00",2021-22,Cincinnati_22,,,,,,,,,
Cincinnati,"$4,367,728.00",2022-23,Cincinnati_23,,,,,,55.0,Cincinnati_23,AAC,"$75,902,262.00"
,,,Citadel_23,,,,,,161.0,Citadel_23,SoCon,"$18,019,405.00"
Clemson,"$9,191,027.00",2021-22,Clemson_22,,,,,,,,,
Clemson,"$9,686,429.00",2022-23,Clemson_23,,,,,,17.0,Clemson_23,ACC,"$143,356,820.00"
,,,Cleveland_State_23,,,,,,196.0,Cleveland_State_23,Hor,"$14,145,508.00"
Coastal Carolina,"$195,561.00",2021-22,Coastal_Carolina_22,,,,,,,,,
Coastal Carolina,"$138,500.00",2022-23,Coastal_Carolina_23,,,,,,73.0,Coastal_Carolina_23,SBC,"$45,443,779.00"
,,,Colgate_22,2022.0,Colgate,14.0,64.0,76.4,,,,
,,,Colgate_23,2023.0,Colgate,15.0,64.0,76.2,,,,
,,,College_of_Charleston_23,2023.0,College of Charleston,12.0,64.0,79.8,137.0,College_of_Charleston_23,CAA,"$22,217,391.00"
Colorado,"$9,059,619.00",2021-22,Colorado_22,,,,,,,,,
Colorado,"$9,419,879.00",2022-23,Colorado_23,,,,,,51.0,Colorado_23,Pac-12,"$95,968,696.00"
,,,Colorado_St._22,2022.0,Colorado St.,6.0,64.0,81.7,,,,
Colorado State,"$2,427,322.00",2021-22,Colorado_State_22,,,,,,,,,
Colorado State,"$2,182,603.00",2022-23,Colorado_State_23,,,,,,61.0,Colorado_State_23,MWC,"$61,220,502.00"
Connecticut,"$5,957,808.00",2021-22,Connecticut_22,2022.0,Connecticut,5.0,64.0,86.4,,,,
Connecticut,"$10,630,760.00",2022-23,Connecticut_23,2023.0,Connecticut,4.0,1.0,89.2,50.0,Connecticut_23,Big East,"$96,742,518.00"
,,,Coppin_State_23,,,,,,230.0,Coppin_State_23,MEAC,"$5,254,060.00"
,,,Creighton_22,2022.0,Creighton,9.0,32.0,81.5,,,,
,,,Creighton_23,2023.0,Creighton,6.0,8.0,87.6,,,,
,,,Davidson_22,2022.0,Davidson,10.0,64.0,81.8,,,,
,,,Delaware_22,2022.0,Delaware,15.0,64.0,73.6,,,,
,,,Delaware_State_23,,,,,,180.0,Delaware_State_23,MEAC,"$16,211,290.00"
,,,Drake_23,2023.0,Drake,12.0,64.0,81.2,,,,
,,,Duke_22,2022.0,Duke,2.0,4.0,89.3,,,,
,,,Duke_23,2023.0,Duke,5.0,32.0,87.1,,,,
East Carolina,"$651,293.00",2021-22,East_Carolina_22,,,,,,,,,
East Carolina,"$963,637.00",2022-23,East_Carolina_23,,,,,,64.0,East_Carolina_23,AAC,"$54,133,021.00"
,,,East_Tennessee_State_23,,,,,,144.0,East_Tennessee_State_23,SoCon,"$22,173,333.00"
,,,Eastern_Illinois_23,,,,,,207.0,Eastern_Illinois_23,OVC,"$14,551,286.00"
,,,Eastern_Kentucky_23,,,,,,153.0,Eastern_Kentucky_23,Asun,"$19,440,010.00"
Eastern Michigan,"$317,900.00",2021-22,Eastern_Michigan_22,,,,,,,,,
Eastern Michigan,"$560,655.00",2022-23,Eastern_Michigan_23,,,,,,104.0,Eastern_Michigan_23,MAC,"$33,040,581.00"
,,,Eastern_Washington_23,,,,,,206.0,Eastern_Washington_23,BigSky,"$16,032,290.00"
FAU,"$760,314.00",2021-22,FAU_22,,,,,,,,,
FAU,"$1,433,028.00",2022-23,FAU_23,,,,,,,,,
FIU,"$480,281.00",2021-22,FIU_22,,,,,,,,,
FIU,"$239,118.00",2022-23,FIU_23,,,,,,,,,
,,,Fairleigh_Dickinson_23,2023.0,Fairleigh Dickinson,16.0,32.0,64.4,,,,
Florida,"$12,909,681.00",2021-22,Florida_22,,,,,,,,,
Florida,"$12,908,581.00",2022-23,Florida_23,,,,,,8.0,Florida_23,SEC,"$174,365,070.00"
,,,Florida_A&M_23,,,,,,205.0,Florida_A&M_23,SWAC,"$12,049,059.00"
,,,Florida_Atlantic_23,2023.0,Florida Atlantic,9.0,4.0,82.6,83.0,Florida_Atlantic_23,CUSA,"$38,132,721.00"
,,,Florida_Gulf_Coast_23,,,,,,171.0,Florida_Gulf_Coast_23,Asun,"$17,286,852.00"
,,,Florida_International_23,,,,,,80.0,Florida_International_23,CUSA,"$39,433,624.00"
Florida State,"$16,963,568.00",2021-22,Florida_State_22,,,,,,,,,
Florida State,"$19,065,253.00",2022-23,Florida_State_23,,,,,,15.0,Florida_State_23,ACC,"$150,777,734.00"
Fresno State,"$1,604,749.00",2021-22,Fresno_State_22,,,,,,,,,
Fresno State,"$1,597,468.00",2022-23,Fresno_State_23,,,,,,65.0,Fresno_State_23,MWC,"$46,515,828.00"
,,,Furman_23,2023.0,Furman,13.0,32.0,78.2,,,,
,,,George_Mason_23,,,,,,98.0,George_Mason_23,A10,"$30,290,482.00"
Georgia,"$12,029,584.00",2021-22,Georgia_22,,,,,,,,,
Georgia,"$13,116,828.00",2022-23,Georgia_23,,,,,,5.0,Georgia_23,SEC,"$169,026,503.00"
Georgia Southern,"$449,636.00",2021-22,Georgia_Southern_22,,,,,,,,,
Georgia Southern,"$409,099.00",2022-23,Georgia_Southern_23,,,,,,111.0,Georgia_Southern_23,SBC,"$30,700,262.00"
,,,Georgia_St._22,2022.0,Georgia St.,16.0,64.0,73.5,,,,
