School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
Ohio,"$1,170,004.00",2022-23,Ohio_23,,,,,,116.0,Ohio_23,MAC,"$31,309,063.00"
,,,Ohio_St._22,2022.0,Ohio St.,7.0,32.0,84.2,,,,
Ohio State,"$23,640,053.00",2021-22,Ohio_State_22,,,,,,,,,
Ohio State,"$24,162,936.00",2022-23,Ohio_State_23,,,,,,1.0,Ohio_State_23,Big 10,"$225,733,418.00"
Oklahoma,"$13,659,156.00",2021-22,Oklahoma_22,,,,,,,,,
Oklahoma,"$14,556,815.00",2022-23,Oklahoma_23,,,,,,10.0,Oklahoma_23,Big 12,"$175,997,457.00"
Oklahoma State,"$11,360,616.00",2021-22,Oklahoma_State_22,,,,,,,,,
Oklahoma State,"$14,991,097.00",2022-23,Oklahoma_State_23,,,,,,46.0,Oklahoma_State_23,Big 12,"$103,317,156.00"
Old Dominion,"$1,591,045.00",2021-22,Old_Dominion_22,,,,,,,,,
Old Dominion,"$1,711,582.00",2022-23,Old_Dominion_23,,,,,,67.0,Old_Dominion_23,SBC,"$51,914,920.00"
Ole Miss,"$12,209,564.00",2021-22,Ole_Miss_22,,,,,,,,,
Ole Miss,"$12,092,919.00",2022-23,Ole_Miss_23,,,,,,,,,
,,,Oral_Roberts_23,2023.0,Oral Roberts,12.0,64.0,79.2,,,,
Oregon,"$11,779,409.00",2021-22,Oregon_22,,,,,,,,,
Oregon,"$10,271,433.00",2022-23,Oregon_23,,,,,,19.0,Oregon_23,Pac-12,"$140,565,297.00"
Oregon State,"$6,139,494.00",2021-22,Oregon_State_22,,,,,,,,,
Oregon State,"$7,838,931.00",2022-23,Oregon_State_23,,,,,,54.0,Oregon_State_23,Pac-12,"$87,729,627.00"
,,,Penn_St._23,2023.0,Penn St.,10.0,32.0,82.8,,,,
Penn State,"$10,913,782.00",2021-22,Penn_State_22,,,,,,,,,
Penn State,"$12,583,316.00",2022-23,Penn_State_23,,,,,,9.0,Penn_State_23,Big 10,"$170,542,050.00"
,,,Pittsburgh_23,2023.0,Pittsburgh,11.0,32.0,79.7,,,,
,,,Portland_State_23,,,,,,176.0,Portland_State_23,BigSky,"$16,160,881.00"
,,,Prairie_View_A&M_23,,,,,,195.0,Prairie_View_A&M_23,SWAC,"$18,821,203.00"
,,,Princeton_23,2023.0,Princeton,15.0,16.0,75.4,,,,
,,,Providence_22,2022.0,Providence,4.0,16.0,82.7,,,,
,,,Providence_23,2023.0,Providence,11.0,64.0,82.8,,,,
Purdue,"$18,911,360.00",2021-22,Purdue_22,2022.0,Purdue,4.0,16.0,89.1,,,,
Purdue,"$16,311,833.00",2022-23,Purdue_23,2023.0,Purdue,1.0,64.0,89.5,37.0,Purdue_23,Big 10,"$93,025,810.00"
,,,Purdue_Fort_Wayne_23,,,,,,203.0,Purdue_Fort_Wayne_23,Hor,"$13,062,826.00"
,,,Radford_23,,,,,,187.0,Radford_23,BigSou,"$12,194,004.00"
,,,Rhode_Island_23,,,,,,108.0,Rhode_Island_23,A10,"$33,139,455.00"
,,,Richmond_22,2022.0,Richmond,12.0,32.0,79.9,,,,
Rutgers,"$4,660,552.00",2021-22,Rutgers_22,2022.0,Rutgers,11.0,68.0,81.1,,,,
Rutgers,"$5,613,639.00",2022-23,Rutgers_23,,,,,,42.0,Rutgers_23,Big 10,"$138,439,077.00"
,,,Sacramento_State_23,,,,,,95.0,Sacramento_State_23,BigSky,"$35,004,647.00"
,,,Saint_Mary's_22,2022.0,Saint Mary's,5.0,32.0,84.3,,,,
,,,Saint_Mary's_23,2023.0,Saint Mary's,5.0,32.0,85.9,,,,
,,,Saint_Peter's_22,2022.0,Saint Peter's,15.0,8.0,74.2,,,,
,,,Sam_Houston_State_23,,,,,,147.0,Sam_Houston_State_23,WAC,"$20,951,301.00"
,,,San_Diego_St._22,2022.0,San Diego St.,8.0,64.0,83.5,,,,
,,,San_Diego_St._23,2023.0,San Diego St.,5.0,2.0,86.0,,,,
San Diego State,"$7,384,360.00",2021-22,San_Diego_State_22,,,,,,,,,
San Diego State,"$12,900,328.00",2022-23,San_Diego_State_23,,,,,,58.0,San_Diego_State_23,MWC,"$67,245,917.00"
,,,San_Francisco_22,2022.0,San Francisco,10.0,64.0,81.8,,,,
San Jose State,"$131,068.00",2021-22,San_Jose_State_22,,,,,,,,,
San Jose State,"$249,297.00",2022-23,San_Jose_State_23,,,,,,86.0,San_Jose_State_23,MWC,"$39,030,022.00"
,,,Seton_Hall_22,2022.0,Seton Hall,8.0,64.0,82.6,,,,
South Alabama,"$569,465.00",2021-22,South_Alabama_22,,,,,,,,,
South Alabama,"$760,042.00",2022-23,South_Alabama_23,,,,,,85.0,South_Alabama_23,SBC,"$33,001,239.00"
South Carolina,"$12,391,571.00",2021-22,South_Carolina_22,,,,,,,,,
South Carolina,"$11,466,388.00",2022-23,South_Carolina_23,,,,,,27.0,South_Carolina_23,SEC,"$144,815,377.00"
,,,South_Carolina_State_23,,,,,,204.0,South_Carolina_State_23,MEAC,"$7,857,836.00"
,,,South_Carolina_Upstate_23,,,,,,224.0,South_Carolina_Upstate_23,BigSou,"$8,946,029.00"
,,,South_Dakota_23,,,,,,142.0,South_Dakota_23,Summit,"$22,446,314.00"
,,,South_Dakota_St._22,2022.0,South Dakota St.,13.0,64.0,79.7,,,,
,,,South_Dakota_State_23,,,,,,131.0,South_Dakota_State_23,Summit,"$23,399,570.00"
South Florida,"$1,675,956.00",2021-22,South_Florida_22,,,,,,,,,
South Florida,"$2,488,514.00",2022-23,South_Florida_23,,,,,,63.0,South_Florida_23,AAC,"$62,288,597.00"
,,,Southeast_Missouri_St._23,2023.0,Southeast Missouri St.,16.0,68.0,67.7,,,,
,,,Southeast_Missouri_State_23,,,,,,209.0,Southeast_Missouri_State_23,OVC,"$12,807,770.00"
,,,Southeastern_Louisiana_23,,,,,,189.0,Southeastern_Louisiana_23,SthLnd,"$14,775,594.00"
,,,Southern_23,,,,,,163.0,Southern_23,SWAC,"$18,585,316.00"
,,,Southern_Illinois_23,,,,,,156.0,Southern_Illinois_23,MVC,"$22,028,920.00"
,,,Southern_Illinois_Edwardsville_23,,,,,,217.0,Southern_Illinois_Edwardsville_23,OVC,"$11,106,055.00"
Southern Mississippi,"$353,434.00",2021-22,Southern_Mississippi_22,,,,,,,,,
Southern Mississippi,"$528,556.00",2022-23,Southern_Mississippi_23,,,,,,125.0,Southern_Mississippi_23,SBC,"$28,346,698.00"
,,,Southern_Utah_23,,,,,,174.0,Southern_Utah_23,WAC,"$16,254,960.00"
,,,Stephen_F._Austin_23,,,,,,136.0,Stephen_F._Austin_23,WAC,"$23,492,261.00"
,,,Stony_Brook_23,,,,,,94.0,Stony_Brook_23,CAA,"$38,944,967.00"
,,,TCU_22,2022.0,TCU,9.0,32.0,81.9,,,,
,,,TCU_23,2023.0,TCU,6.0,32.0,85.4,,,,
,,,Tarleton_State_23,,,,,,160.0,Tarleton_State_23,WAC,"$18,048,307.00"
,,,Tennessee-Chattanooga_23,,,,,,150.0,Tennessee-Chattanooga_23,SoCon,"$21,051,127.00"
,,,Tennessee-Martin_23,,,,,,193.0,Tennessee-Martin_23,OVC,"$14,461,961.00"
Tennessee,"$19,184,123.00",2021-22,Tennessee_22,2022.0,Tennessee,3.0,32.0,88.9,,,,
Tennessee,"$21,866,636.00",2022-23,Tennessee_23,2023.0,Tennessee,4.0,16.0,86.9,18.0,Tennessee_23,SEC,"$157,108,637.00"
,,,Tennessee_State_23,,,,,,186.0,Tennessee_State_23,OVC,"$15,883,556.00"
,,,Tennessee_Tech_23,,,,,,172.0,Tennessee_Tech_23,OVC,"$16,565,077.00"
,,,Texas-Arlington_23,,,,,,164.0,Texas-Arlington_23,WAC,"$18,542,203.00"
,,,Texas-El_Paso_23,,,,,,102.0,Texas-El_Paso_23,CUSA,"$34,370,528.00"
,,,Texas-Rio_Grande_Valley_23,,,,,,181.0,Texas-Rio_Grande_Valley_23,WAC,"$14,543,584.00"
,,,Texas-San_Antonio_23,,,,,,90.0,Texas-San_Antonio_23,CUSA,"$39,156,362.00"
Texas,"$23,958,575.00",2021-22,Texas_22,2022.0,Texas,6.0,32.0,86.3,,,,
Texas,"$23,011,910.00",2022-23,Texas_23,2023.0,Texas,2.0,8.0,90.1,2.0,Texas_23,Big 12,"$225,153,011.00"
,,,Texas_A&M-Corpus_Christi_23,,,,,,191.0,Texas_A&M-Corpus_Christi_23,SthLnd,"$14,968,202.00"
Texas A&M,"$12,877,528.00",2021-22,Texas_A&M_22,,,,,,,,,
Texas A&M,"$12,899,247.00",2022-23,Texas_A&M_23,2023.0,Texas A&M,7.0,64.0,85.1,7.0,Texas_A&M_23,SEC,"$177,671,900.00"
,,,Texas_A&M_Corpus_Chris_22,2022.0,Texas A&M Corpus Chris,16.0,68.0,67.3,,,,
,,,Texas_A&M_Corpus_Chris_23,2023.0,Texas A&M Corpus Chris,16.0,64.0,69.9,,,,
,,,Texas_Southern_22,2022.0,Texas Southern,16.0,64.0,70.4,,,,
,,,Texas_Southern_23,2023.0,Texas Southern,16.0,68.0,66.6,202.0,Texas_Southern_23,SWAC,"$13,362,715.00"
Texas State,"$357,034.00",2021-22,Texas_State_22,,,,,,,,,
Texas State,"$393,826.00",2022-23,Texas_State_23,,,,,,92.0,Texas_State_23,SBC,"$37,853,450.00"
Texas Tech,"$15,590,989.00",2021-22,Texas_Tech_22,2022.0,Texas Tech,3.0,16.0,88.7,,,,
Texas Tech,"$15,506,818.00",2022-23,Texas_Tech_23,,,,,,41.0,Texas_Tech_23,Big 12,"$104,778,443.00"
Toledo,"$731,183.00",2021-22,Toledo_22,,,,,,,,,
Toledo,"$999,862.00",2022-23,Toledo_23,,,,,,97.0,Toledo_23,MAC,"$35,602,789.00"
Total,"$928,800,517.00",2021-22,Total_22,,,,,,,,,
Total,"$975,915,472.00",2022-23,Total_23,,,,,,,,,
,,,Towson_23,,,,,,124.0,Towson_23,CAA,"$28,156,444.00"
Troy,"$256,827.00",2021-22,Troy_22,,,,,,,,,
Troy,"$402,184.00",2022-23,Troy_23,,,,,,101.0,Troy_23,SBC,"$33,355,524.00"
,,,UAB_22,2022.0,UAB,12.0,64.0,81.2,,,,
UCF,"$3,629,955.00",2021-22,UCF_22,,,,,,,,,
UCF,"$4,261,890.00",2022-23,UCF_23,,,,,,,,,
UCLA,"$12,736,321.00",2021-22,UCLA_22,2022.0,UCLA,4.0,16.0,89.8,,,,
UCLA,"$14,514,248.00",2022-23,UCLA_23,2023.0,UCLA,2.0,16.0,88.3,47.0,UCLA_23,Pac-12,"$131,106,913.00"
,,,UC_Santa_Barbara_23,2023.0,UC Santa Barbara,14.0,64.0,75.5,,,,
,,,UNC_Asheville_23,2023.0,UNC Asheville,15.0,64.0,73.0,,,,
UNLV,"$8,148,406.00",2021-22,UNLV_22,,,,,,,,,
UNLV,"$6,112,443.00",2022-23,UNLV_23,,,,,,,,,
,,,USC_22,2022.0,USC,7.0,64.0,83.0,,,,
,,,USC_23,2023.0,USC,10.0,64.0,83.0,,,,
UTEP,"$3,838,542.00",2021-22,UTEP_22,,,,,,,,,
UTEP,"$3,953,720.00",2022-23,UTEP_23,,,,,,,,,
UTSA,"$306,876.00",2021-22,UTSA_22,,,,,,,,,
UTSA,"$395,532.00",2022-23,UTSA_23,,,,,,,,,
Utah,"$11,801,523.00",2021-22,Utah_22,,,,,,,,,
Utah,"$13,392,643.00",2022-23,Utah_23,,,,,,36.0,Utah_23,Pac-12,"$111,880,434.00"
,,,Utah_St._23,2023.0,Utah St.,10.0,64.0,83.5,,,,
Utah State,"$1,809,649.00",2021-22,Utah_State_22,,,,,,,,,
Utah State,"$1,932,881.00",2022-23,Utah_State_23,,,,,,78.0,Utah_State_23,MWC,"$42,824,185.00"
,,,Utah_Tech_23,,,,,,194.0,Utah_Tech_23,WAC,"$13,987,957.00"
,,,Utah_Valley_23,,,,,,165.0,Utah_Valley_23,WAC,"$18,906,619.00"
,,,VCU_23,2023.0,VCU,12.0,64.0,81.7,,,,
,,,VMI_23,,,,,,184.0,VMI_23,SoCon,"$16,114,012.00"
,,,Vermont_22,2022.0,Vermont,13.0,64.0,80.3,,,,
,,,Vermont_23,2023.0,Vermont,15.0,64.0,76.3,138.0,Vermont_23,AmEast,"$23,169,941.00"
,,,Villanova_22,2022.0,Villanova,2.0,4.0,90.2,,,,
Virginia,"$14,625,549.00",2021-22,Virginia_22,,,,,,,,,
Virginia,"$18,199,143.00",2022-23,Virginia_23,2023.0,Virginia,4.0,64.0,83.8,14.0,Virginia_23,ACC,"$150,584,173.00"
,,,Virginia_Commonwealth_23,,,,,,77.0,Virginia_Commonwealth_23,A10,"$41,887,842.00"
Virginia Tech,"$13,799,621.00",2021-22,Virginia_Tech_22,2022.0,Virginia Tech,11.0,64.0,84.7,,,,
Virginia Tech,"$15,174,462.00",2022-23,Virginia_Tech_23,,,,,,38.0,Virginia_Tech_23,ACC,"$117,777,441.00"
Washington,"$12,208,056.00",2021-22,Washington_22,,,,,,,,,
Washington,"$10,992,854.00",2022-23,Washington_23,,,,,,25.0,Washington_23,Pac-12,"$149,458,923.00"
Washington State,"$7,001,837.00",2021-22,Washington_State_22,,,,,,,,,
Washington State,"$7,094,524.00",2022-23,Washington_State_23,,,,,,53.0,Washington_State_23,Pac-12,"$83,691,991.00"
,,,Weber_State_23,,,,,,188.0,Weber_State_23,BigSky,"$16,447,647.00"
West Virginia,"$15,080,398.00",2021-22,West_Virginia_22,,,,,,,,,
West Virginia,"$15,739,137.00",2022-23,West_Virginia_23,2023.0,West Virginia,9.0,64.0,84.2,45.0,West_Virginia_23,Big 12,"$97,067,706.00"
,,,Western_Carolina_23,,,,,,178.0,Western_Carolina_23,SoCon,"$17,040,389.00"
,,,Western_Illinois_23,,,,,,222.0,Western_Illinois_23,Summit,"$11,703,844.00"
Western Kentucky,"$1,428,802.00",2021-22,Western_Kentucky_22,,,,,,,,,
Western Kentucky,"$1,083,077.00",2022-23,Western_Kentucky_23,,,,,,99.0,Western_Kentucky_23,CUSA,"$35,142,710.00"
Western Michigan,"$679,656.00",2021-22,Western_Michigan_22,,,,,,,,,
Western Michigan,"$557,306.00",2022-23,Western_Michigan_23,,,,,,84.0,Western_Michigan_23,MAC,"$34,422,527.00"
,,,Wichita_State_23,,,,,,122.0,Wichita_State_23,AAC,"$25,668,918.00"
,,,William_&_Mary_23,,,,,,109.0,William_&_Mary_23,CAA,"$30,727,683.00"
,,,Winthrop_23,,,,,,214.0,Winthrop_23,BigSou,"$11,515,673.00"
,,,Wisconsin-Green_Bay_23,,,,,,223.0,Wisconsin-Green_Bay_23,Hor,"$8,898,030.00"
,,,Wisconsin-Milwaukee_23,,,,,,135.0,Wisconsin-Milwaukee_23,Hor,"$14,415,250.00"
Wisconsin,"$15,873,074.00",2021-22,Wisconsin_22,2022.0,Wisconsin,3.0,32.0,84.7,,,,
Wisconsin,"$19,127,691.00",2022-23,Wisconsin_23,,,,,,22.0,Wisconsin_23,Big 10,"$147,807,183.00"
,,,Wright_St._22,2022.0,Wright St.,16.0,64.0,73.5,,,,
,,,Wright_State_23,,,,,,219.0,Wright_State_23,Hor,"$10,698,961.00"
Wyoming,"$1,782,551.00",2021-22,Wyoming_22,2022.0,Wyoming,12.0,68.0,78.5,,,,
Wyoming,"$1,953,571.00",2022-23,Wyoming_23,,,,,,69.0,Wyoming_23,MWC,"$47,146,999.00"
,,,Xavier_23,2023.0,Xavier,3.0,16.0,84.4,,,,
,,,Yale_22,2022.0,Yale,14.0,64.0,74.7,,,,
,,,Youngstown_State_23,,,,,,166.0,Youngstown_State_23,Hor,"$17,773,159.00"
